Date,Close
2019-04-16,108.19999694824219
2019-04-17,110.19999694824219
2019-04-18,105.80000305175781
2019-04-22,106.19999694824219
2019-04-23,114.5999984741211
2019-04-24,110.4000015258789
2019-04-25,107.0
2019-04-26,122.5999984741211
2019-04-29,128.0
2019-04-30,119.5999984741211
2019-05-01,115.5999984741211
2019-05-02,116.4000015258789
2019-05-03,115.80000305175781
2019-05-06,115.5999984741211
2019-05-07,114.5999984741211
2019-05-08,114.5999984741211
2019-05-09,114.0
2019-05-10,112.0
2019-05-13,103.5999984741211
2019-05-14,107.4000015258789
2019-05-15,108.19999694824219
2019-05-16,110.0
2019-05-17,104.19999694824219
2019-05-20,102.80000305175781
2019-05-21,105.0
2019-05-22,93.80000305175781
2019-05-23,87.19999694824219
2019-05-24,87.0
2019-05-28,85.4000015258789
2019-05-29,81.5999984741211
2019-05-30,79.19999694824219
2019-05-31,76.4000015258789
2019-06-03,76.5999984741211
2019-06-04,76.5999984741211
2019-06-05,73.0
2019-06-06,73.80000305175781
2019-06-07,72.5999984741211
2019-06-10,73.0
2019-06-11,73.4000015258789
2019-06-12,67.5999984741211
2019-06-13,69.80000305175781
2019-06-14,66.80000305175781
2019-06-17,69.0
2019-06-18,70.4000015258789
2019-06-19,72.0
2019-06-20,72.19999694824219
2019-06-21,69.0
2019-06-24,65.5999984741211
2019-06-25,65.0
2019-06-26,67.0
2019-06-27,66.80000305175781
2019-06-28,68.4000015258789
2019-07-01,66.4000015258789
2019-07-02,61.599998474121094
2019-07-03,60.20000076293945
2019-07-05,61.0
2019-07-08,59.0
2019-07-09,57.20000076293945
2019-07-10,58.0
2019-07-11,59.20000076293945
2019-07-12,60.20000076293945
2019-07-15,57.20000076293945
2019-07-16,54.400001525878906
2019-07-17,49.79999923706055
2019-07-18,48.599998474121094
2019-07-19,49.0
2019-07-22,49.79999923706055
2019-07-23,49.0
2019-07-24,48.599998474121094
2019-07-25,46.20000076293945
2019-07-26,47.599998474121094
2019-07-29,46.20000076293945
2019-07-30,52.400001525878906
2019-07-31,52.400001525878906
2019-08-01,45.0
2019-08-02,41.20000076293945
2019-08-05,40.400001525878906
2019-08-06,40.400001525878906
2019-08-07,37.400001525878906
2019-08-08,36.599998474121094
2019-08-09,33.599998474121094
2019-08-12,32.599998474121094
2019-08-13,32.0
2019-08-14,29.600000381469727
2019-08-15,28.799999237060547
2019-08-16,30.200000762939453
2019-08-19,33.0
2019-08-20,34.20000076293945
2019-08-21,36.599998474121094
2019-08-22,35.0
2019-08-23,31.799999237060547
2019-08-26,30.799999237060547
2019-08-27,29.399999618530273
2019-08-28,29.399999618530273
2019-08-29,30.799999237060547
2019-08-30,28.200000762939453
2019-09-03,26.799999237060547
2019-09-04,29.0
2019-09-05,30.399999618530273
2019-09-06,31.200000762939453
2019-09-09,34.79999923706055
2019-09-10,37.599998474121094
2019-09-11,38.20000076293945
2019-09-12,37.599998474121094
2019-09-13,39.400001525878906
2019-09-16,41.79999923706055
2019-09-17,38.79999923706055
2019-09-18,37.599998474121094
2019-09-19,36.0
2019-09-20,35.0
2019-09-23,35.400001525878906
2019-09-24,32.79999923706055
2019-09-25,33.599998474121094
2019-09-26,31.200000762939453
2019-09-27,31.0
2019-09-30,31.0
2019-10-01,28.799999237060547
2019-10-02,28.399999618530273
2019-10-03,28.600000381469727
2019-10-04,27.799999237060547
2019-10-07,27.799999237060547
2019-10-08,26.799999237060547
2019-10-09,26.799999237060547
2019-10-10,27.200000762939453
2019-10-11,28.399999618530273
2019-10-14,28.0
2019-10-15,28.200000762939453
2019-10-16,28.399999618530273
2019-10-17,27.0
2019-10-18,25.600000381469727
2019-10-21,25.600000381469727
2019-10-22,24.799999237060547
2019-10-23,23.600000381469727
2019-10-24,23.600000381469727
2019-10-25,24.600000381469727
2019-10-28,26.600000381469727
2019-10-29,27.399999618530273
2019-10-30,25.799999237060547
2019-10-31,23.200000762939453
2019-11-01,24.799999237060547
2019-11-04,26.600000381469727
2019-11-05,27.600000381469727
2019-11-06,25.600000381469727
2019-11-07,24.200000762939453
2019-11-08,23.799999237060547
2019-11-11,23.200000762939453
2019-11-12,20.399999618530273
2019-11-13,21.799999237060547
2019-11-14,19.600000381469727
2019-11-15,20.200000762939453
2019-11-18,19.399999618530273
2019-11-19,18.799999237060547
2019-11-20,19.200000762939453
2019-11-21,20.200000762939453
2019-11-22,22.799999237060547
2019-11-25,26.399999618530273
2019-11-26,25.600000381469727
2019-11-27,27.600000381469727
2019-11-29,26.200000762939453
2019-12-02,25.399999618530273
2019-12-03,25.0
2019-12-04,24.799999237060547
2019-12-05,23.600000381469727
2019-12-06,27.600000381469727
2019-12-09,28.600000381469727
2019-12-10,27.600000381469727
2019-12-11,30.600000381469727
2019-12-12,34.400001525878906
2019-12-13,33.20000076293945
2019-12-16,33.20000076293945
2019-12-17,34.0
2019-12-18,33.400001525878906
2019-12-19,34.599998474121094
2019-12-20,34.400001525878906
2019-12-23,35.599998474121094
2019-12-24,36.79999923706055
2019-12-26,34.79999923706055
2019-12-27,32.0
2019-12-30,33.20000076293945
2019-12-31,33.599998474121094
2020-01-02,33.599998474121094
2020-01-03,35.79999923706055
2020-01-06,38.20000076293945
2020-01-07,37.79999923706055
2020-01-08,37.400001525878906
2020-01-09,36.0
2020-01-10,33.599998474121094
2020-01-13,33.79999923706055
2020-01-14,32.599998474121094
2020-01-15,30.600000381469727
2020-01-16,30.0
2020-01-17,29.0
2020-01-21,27.0
2020-01-22,26.399999618530273
2020-01-23,25.600000381469727
2020-01-24,24.399999618530273
2020-01-27,23.0
2020-01-28,23.399999618530273
2020-01-29,22.399999618530273
2020-01-30,21.799999237060547
2020-01-31,21.200000762939453
2020-02-03,22.0
2020-02-04,22.799999237060547
2020-02-05,23.600000381469727
2020-02-06,22.600000381469727
2020-02-07,21.0
2020-02-10,20.600000381469727
2020-02-11,20.600000381469727
2020-02-12,21.200000762939453
2020-02-13,22.799999237060547
2020-02-14,20.399999618530273
2020-02-18,20.399999618530273
2020-02-19,19.799999237060547
2020-02-20,20.0
2020-02-21,19.200000762939453
2020-02-24,18.200000762939453
